#x	y	r	m	fx	fy
1	0	1	333	0	0
3	0	1	333	0	0
5	0	1	333	0	0
7	0	1	333	0	0
9	0	1	333	0	0
11	0	1	333	0	0
13	0	1	333	0	0
15	0	1	333	0	0
17	0	1	333	0	0
19	0	1	333	0	0
21	0	1	333	0	0
23	0	1	333	0	0
1	4.5	1	333	0	0
3	4.5	1	333	0	0
5	4.5	1	333	0	0
7	4.5	1	333	0	0
9	4.5	1	333	0	0
11	4.5	1	333	0	0
13	4.5	1	333	0	0
15	4.5	1	333	0	0
17	4.5	1	333	0	0
1.1	2.2	0.9	333	0	-0.03
3.1	2.2	0.9	333	0	-0.03
5.1	2.2	0.9	333	0	-0.03
7.1	2.2	1	333	0	-0.03
9.1	2.2	0.9	333	0	-0.03
11.1	2.2	1	333	0	-0.03
13.1	2.2	1	333	0	-0.03
15.1	2.2	0.9	333	0	-0.03
17.1	2.2 0.9	333	0	-0.03
